"","FIPS","county","STATE","casesT","Pctpov","HSGr","Health","JLR","logit_JLR"
"1","1001","Autauga","AL",0.00529810807424511,0.138,0.887,0.20882987328,0.13378,-1.86794225817952
"2","1003","Baldwin","AL",0.00154994310902461,0.098,0.902,0.1750913436,0.13879,-1.82537637775964
"3","1005","Barbour","AL",0.00846633719517135,0.309,0.73,0.29591801708,0.101,-2.18616251763036
"4","1007","Bibb","AL",0.00410824327944985,0.218,0.832,0.19439724157,0.10055,-2.19112834919003
"5","1009","Blount","AL",0.00140075398609622,0.132,0.801,0.21745292814,0.10888,-2.10223274019372
"6","1011","Bullock","AL",0.0247500247500247,0.425,0.753,0.30999101851,0.09753,-2.22497542567339
"7","1013","Butler","AL",0.0243212669683258,0.245,0.846,0.27910673184,0.11464,-2.04419755843661
"8","1015","Calhoun","AL",0.00167246159940143,0.195,0.841,0.23107733221,0.12235,-1.97036209101367
"9","1017","Chambers","AL",0.0124797016900223,0.187,0.813,0.23995473603,0.11571,-2.03369800224999
"10","1019","Cherokee","AL",0.00167964574744236,0.163,0.802,0.20698470599,0.10611,-2.13110643321207
"11","1021","Chilton","AL",0.00279103268209237,0.173,0.823,0.21185462911,0.10577,-2.13469608743863
"12","1023","Choctaw","AL",0.012630073874017,0.221,0.814,0.24863531285,0.09013,-2.31204865959467
"13","1025","Clarke","AL",0.00694268055202777,0.228,0.812,0.2523508481,0.09198,-2.28969524267866
"14","1027","Clay","AL",0.0022667170381564,0.176,0.756,0.23795917414,0.10903,-2.100687683152
"15","1029","Cleburne","AL",0.00127431254191818,0.16,0.774,0.19284407812,0.10018,-2.19522617539217
"16","1031","Coffee","AL",0.00485269955294028,0.138,0.862,0.19425826811,0.11305,-2.05995841221097
"17","1033","Colbert","AL",0.00409116417153926,0.138,0.844,0.20914454347,0.10699,-2.12186240687157
"18","1035","Conecuh","AL",0.00546946216955333,0.244,0.808,0.28608747789,0.09698,-2.23123992988875
"19","1037","Coosa","AL",0.0038450717434118,0.189,0.797,0.24919103283,0.11212,-2.06926687242887
"20","1039","Covington","AL",0.00261815433614942,0.199,0.828,0.22668806251,0.0978,-2.22191164793352
"21","1041","Crenshaw","AL",0.00718849840255591,0.195,0.784,0.22146936238,0.09778,-2.22213833561178
"22","1043","Cullman","AL",0.00260242574730207,0.145,0.817,0.21786493693,0.09767,-2.22338585735364
"23","1045","Dale","AL",0.00292849589197104,0.162,0.858,0.23433107031,0.10788,-2.11258115440823
"24","1047","Dallas","AL",0.0101892676631896,0.314,0.807,0.29826897822,0.1125,-2.0654552997051
"25","1049","DeKalb","AL",0.00394333897333352,0.213,0.741,0.25958981492,0.1051,-2.14179970230591
