"","state","cases","deaths"
"1","Alabama",21989,744
"2","Alaska",642,9
"3","Arizona",29981,1100
"4","Arkansas",10368,165
"5","California",140123,4869
"6","Colorado",28484,1573
"7","Connecticut",44347,4120
"8","Delaware",10056,413
"9","District of Columbia",9537,499
"10","Florida",67363,2800
"11","Georgia",51465,2292
"12","Guam",1149,6
"13","Hawaii",673,17
"14","Idaho",3262,85
"15","Illinois",130889,6302
"16","Indiana",39297,2355
"17","Iowa",22733,638
"18","Kansas",10931,241
"19","Kentucky",12029,498
"20","Louisiana",44143,2968
"21","Maine",2637,100
"22","Maryland",60114,2844
"23","Massachusetts",104156,7454
"24","Michigan",65377,5958
"25","Minnesota",28900,1267
"26","Mississippi",18483,868
"27","Missouri",15662,861
"28","Montana",561,18
"29","Nebraska",16025,209
"30","Nevada",10216,449
"31","New Hampshire",5178,301
"32","New Jersey",165346,12377
"33","New Mexico",9250,410
"34","New York",384945,30376
"35","North Carolina",38305,1096
"36","North Dakota",2944,76
"37","Northern Mariana Islands",30,2
"38","Ohio",39575,2457
"39","Oklahoma",7480,355
"40","Oregon",5097,169
"41","Pennsylvania",81410,6143
"42","Puerto Rico",5329,143
"43","Rhode Island",15756,812
"44","South Carolina",15759,575
"45","South Dakota",5604,69
"46","Tennessee",28379,436
"47","Texas",81771,1916
"48","Utah",12982,128
"49","Vermont",1095,55
"50","Virgin Islands",72,6
"51","Virginia",52177,1514
"52","Washington",25940,1183
"53","West Virginia",2193,85
"54","Wisconsin",21772,673
"55","Wyoming",980,18
