State,FIPS,County,Fair or Poor Health - % Fair or Poor Health,Physically Unhealthy - Average Number of Physically Unhealthy Days,Mentally Unhealthy - Average Number of Mentally Unhealthy Days,Adult Smoking - % Smokers,Adult Obesity - % Adults with Obesity,Physically Inactive - % Physically Inactive,Excessive Drinking - % Excessive Drinking,College - # Some College,College - Population,College - % Some College,Social Assoications - # Associations,Social Assoications - Social Association Rate,Severe Housing Problems - % Severe Housing Problems,Uninsured - # Uninsured,Uninsured - % Uninsured,Unemployment - # Unemployed,Unemployment - Labor Force,Unemployment - % Unemployed,Children in Poverty - % Children in Poverty,Driving alone to work - % Drive Alone to Work,Long commute - driving to work - # Workers who Drive Alone,Long commute - driving to work - % Long Commute - Drives Alone,Income Inequality - 80th Percentile Income,Income Inequality - 20th Percentile Income,Income Inequality - Income Ratio,Single-Parent Households - # Single-Parent Households,Single-Parent Households - # Households,Single-Parent Households - % Single-Parent Households,Access to Exercise Opportunities - % With Access to Exercise Opportunities,Flu Vaccinations - % Vaccinated,Food Environment - Food Environment Index,Mammography Screening - % With Annual Mammogram,Alcohol-Impaired Driving Deaths - # Alcohol-Impaired Driving Deaths,Alcohol-Impaired Driving Deaths - # Driving Deaths,Alcohol-Impaired Driving Deaths - % Driving Deaths with Alcohol Involvement,Air pollution - Average Daily PM2.5,Preventable Hosp. Rate - Preventable Hospitalization Rate,Severe Housing Problems - Severe Housing Cost Burden,Severe Housing Problems - Overcrowding,Severe Housing Problems - Inadequate Facilities,Dentists - # Dentists,Dentists - Dentist Rate,Dentists - Dentist Ratio,Presence of Water Violation - Presence of Water Violation,High School Grad - High School Graduation Rate,Injury related Death - # Injury Deaths,Injury related Death - Injury Death Rate,Low Birthweight - % Low Birthweight,Primary Care Physicians - Primary Care Physicians Rate,Primary Care Physicians - Primary Care Physicians Ratio,Primary Care Physicians - # Primary Care Physicians,Chlamydia Cases - # Chlamydia Cases,Chlamydia Cases - Chlamydia Rate,Teen Birth Rate - Teen Birth Rate,Violent Crime - Annual Average Violent Crimes,Violent Crime - Violent Crime Rate,Mental Health Providers - # Mental Health Providers,Mental Health Providers - Mental Health Provider Rate,Mental Health Providers - Mental Health Provider Ratio,Premature Deaths - Deaths,Premature Deaths - Years of Potential Life Lost Rate,Children in Poverty - % Children in Poverty (White),Children in Poverty - % Children in Poverty (Hispanic),High School Grad - Cohort Size,Flu Vaccinations - % Vaccinated (White),Mammography Screening - % Screened (White),Teen Birth Rate - Teen Birth Rate (White),Low Birthweight - % LBW (White),Preventable Hosp. Rate - Preventable Hosp. Rate (White),Flu Vaccinations - % Vaccinated (Black),Flu Vaccinations - % Vaccinated (Hispanic),Children in Poverty - % Children in Poverty (Black),Driving alone to work - % Drive Alone (White),Teen Birth Rate - Teen Birth Rate (Hispanic),Mammography Screening - % Screened (Black),Preventable Hosp. Rate - Preventable Hosp. Rate (Black),Injury related Death - Injury Death Rate (White),Low Birthweight - % LBW (Hispanic),Low Birthweight - % LBW (Black),Mammography Screening - % Screened (Hispanic),Teen Birth Rate - Teen Birth Rate (Black),Driving alone to work - % Drive Alone (Hispanic),Premature Deaths - YPLL Rate (White),Driving alone to work - % Drive Alone (Black),Flu Vaccinations - % Vaccinated (Asian),Injury related Death - Injury Death Rate (Black),Preventable Hosp. Rate - Preventable Hosp. Rate (Hispanic),Premature Deaths - YPLL Rate (Black),Children in Poverty - % Children in Poverty (Asian),Mammography Screening - % Screened (Asian),Children in Poverty - % Children in Poverty (AIAN),Injury related Death - Injury Death Rate (Hispanic),Flu Vaccinations - % Vaccinated (AIAN),Low Birthweight - % LBW (Asian),Premature Deaths - YPLL Rate (Hispanic),Driving alone to work - % Drive Alone (Asian),Mammography Screening - % Screened (AIAN),Preventable Hosp. Rate - Preventable Hosp. Rate (Asian),Driving alone to work - % Drive Alone (AIAN),Preventable Hosp. Rate - Preventable Hosp. Rate (AIAN),Teen Birth Rate - Teen Birth Rate (AIAN),Low Birthweight - % LBW (AIAN),Teen Birth Rate - Teen Birth Rate (Asian),Injury related Death - Injury Death Rate (Asian),Injury related Death - Injury Death Rate (AIAN),Premature Deaths - YPLL Rate (Asian),Low Birthweight - Unreliable,Premature Deaths - YPLL Rate (AIAN),NJL,TJ,JLR
Alabama,1000,NA,22.02870285,4.918051715,4.939752942,20.92735311,35.5,29.8,13.90351529,744300,1232042,60.41190154,6031,12.37192412,14.34070208,438049,11.04478259,86493,2198844,3.933566911,23.9,85.79474468,2051445,34.3,99688,18948,5.26113574,406913,1089671,37.34273923,61.11228737,41,5.8,40,1284,4654,27.58917061,11,5805,NA,NA,NA,2355,48.18049,2076:01:00,NA,89.3,20015,82.25024507,10.2548706,64.82388,1543:01:00,3160,29935,614.1,30.89461645,23306.5,479.9191819,4948,101.23017,988:01:00,81791,9942.794667,NA,NA,54917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1777,13286,0.13378
Alabama,1001,Autauga,20.88298733,4.743888867,4.654031397,18.08155718,33.3,34.7,15.02603126,8953,14438,62.00997368,67,12.07120208,14.66346154,4093,8.721685951,942,25957,3.629078861,19.3,86.52366137,24428,39.6,110026,21019,5.234597269,3495,13318,26.24267908,69.13012406,41,7.2,41,15,56,26.78571429,11.7,7108,12.8267183,1.201923077,1.346153846,18,32.37352,3089:01:00,No,90,190,68.52699423,8.61952862,45.0418,2220:01:00,25,226,407.2,25.28492716,148.5,272.2822201,13,23.38087,4277:01:00,791,8128.59119,17.6213799,NA,660,43,42,24.31548835,7.289433384,6877,30,29,45.7896639,84.48500652,NA,36,8464,77.05222905,NA,13.50515464,36,31.38075314,NA,7885.66537,82.49373782,46,42.480099,NA,10201.38993,6.837606838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6846,49324,0.13879
Alabama,1003,Baldwin,17.50913436,4.224519202,4.304056469,17.4890326,31,26.5,17.9583101,32812,48703,67.37161982,217,10.20561732,13.56620093,19119,11.33340447,3393,93849,3.615382156,13.9,84.28243273,91420,41.7,111447,25227,4.417766679,10963,45415,24.13960145,73.71354895,44,8,43,48,156,30.76923077,10.3,4041,12.27738802,1.27079175,0.479041916,108,49.53629,2019:01:00,No,86.3615768,755,72.38505397,8.345003183,72.89727,1372:01:00,155,691,325,27.88069221,408,203.6603963,210,96.32055,1038:01:00,2967,7354.12253,10.59901134,25.88757396,2207,45,44,26.4158918,7.665056361,3975,30,40,26.86621646,82.95245264,45.98195101,36,6135,80.04040786,5.218855219,15.00275786,32,33.40834343,68.2969947,7435.761187,86.98867024,46,41.69844902,NA,9890.505276,NA,45,12.22222222,NA,50,10.9375,3570.475265,NA,36,8863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691,6839,0.101
Alabama,1005,Barbour,29.59180171,5.430278859,5.185594413,21.99998453,41.7,23.5,12.84401555,2363,6779,34.85764862,19,7.518796993,14.58333333,2136,12.24279246,433,8373,5.171384211,43.9,83.36847037,8538,32.2,76557,13475,5.681410019,3073,5429,56.60342605,53.16676986,37,5.6,45,12,30,40,11.5,6209,13.44594595,1.688596491,0.603070175,9,36.17218,2765:01:00,No,81.41025641,91,70.27461156,11.47455867,31.65809,3159:01:00,8,181,716.3,40.87081536,105.5,414.2778607,2,8.03826,12441:1,472,10253.5734,16.51138716,68.72146119,312,40,46,37.17277487,7.320644217,6608,31,NA,65.12356422,87.24785532,55.04587156,45,5733,67.97420296,NA,15.42750929,NA,42.66274366,NA,8140.174177,81.38743456,NA,72.08650381,NA,12422.16637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,4715,0.10055
Alabama,1007,Bibb,19.43972416,4.591482438,4.551698849,19.11419989,37.6,33.5,15.57004237,2635,5970,44.13735343,19,8.381859891,10.4964539,1727,10.20625259,344,8661,3.971827734,27.8,84.91064687,7946,49.8,87957,20134,4.368580511,1322,4608,28.68923611,16.25136374,38,7.8,40,8,29,27.5862069,11.2,5961,9.978276611,0.255319149,0.709219858,5,22.32143,4480:01:00,No,83.76383764,122,108.1560284,10.30871003,48.52656,2061:01:00,11,77,339.7,41.69679441,19.5,89.34912598,5,22.32143,4480:01:00,471,11977.53948,20.64846416,11.27819549,271,39,42,46.14431713,8.536585366,6163,27,NA,19.75308642,NA,NA,34,3536,117.1542176,NA,17.25067385,NA,21.95121951,NA,12241.3842,NA,NA,92.82053352,NA,13085.04501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1432,13155,0.10888
Alabama,1009,Blount,21.74529281,4.86080763,4.891454668,19.20867197,33.8,30.3,14.23059383,7438,13939,53.36107325,49,8.446382707,10.54801164,6333,13.36075949,878,25006,3.511157322,18,86.17836202,21148,59.4,91702,20699,4.430262332,3825,13392,28.56182796,15.63448589,39,8.4,34,14,72,19.44444444,11.7,4060,7.851445663,1.891367604,1.091173618,11,19.01798,5258:01:00,No,93.46879536,310,107.2853687,7.604562738,22.40877,4463:01:00,13,136,234.4,33.5345953,279,482.6906109,9,15.56017,6427:01:00,1085,11335.07113,15.84450147,50.33589251,689,39,34,33.9758567,7.642357642,NA,20,30,2.209944751,82.83100108,31.82686187,29,NA,115.8188985,6.790123457,NA,18,42.25352113,79.78208232,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.24204494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,2916,0.09753
Alabama,1011,Bullock,30.99910185,5.359159343,4.891351043,22.89466401,37.2,24.6,12.09410123,951,2719,34.97609415,8,7.760209526,18.14345992,803,11.44037612,224,4776,4.690117253,68.3,79.06091371,3940,46,69189,9337,7.410195994,1602,2142,74.78991597,2.501374382,28,4.3,35,15,25,60,11.2,6632,15.21044993,0.112517581,3.094233474,2,19.72776,5069:01:00,No,70.24793388,56,107.1380742,15.68848759,29.10079,3436:01:00,3,89,863.3,47.91666667,33,311.0273327,2,19.72776,5069:01:00,203,11679.55898,NA,NA,121,35,37,NA,NA,7455,25,NA,NA,73.76387487,NA,35,6100,112.6321262,8.759124088,17.86259542,NA,NA,NA,NA,75.79646018,NA,112.6961876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,5886,0.11464
Alabama,1013,Butler,27.91067318,5.400806197,5.340750195,21.76533496,43.3,39.5,11.85740343,2011,4825,41.67875648,18,9.079445145,13.15960912,1759,11.18600954,427,8914,4.790217635,36.3,83.83318316,7769,32.3,80036,14757,5.423595582,2390,4534,52.71283635,48.57974889,35,6.6,42,14,51,27.45098039,10.6,9203,11.69230769,1.693811075,0.390879479,6,30.4878,3280:01:00,Yes,81.58995816,100,100.0470221,12.68028846,25.22068,3965:01:00,5,151,761.7,37.88610039,116.5,581.5840052,10,50.81301,1968:01:00,423,14359.9391,18.44262295,NA,239,38,42,40.66852368,10.1986755,9249,29,NA,45.2573373,88.03611738,NA,43,9610,110.2619672,NA,14.94252874,NA,36.60714286,NA,13002.47716,82.43243243,NA,94.2020859,NA,16245.52285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3313,27081,0.12235
Alabama,1015,Calhoun,23.10773322,4.88037674,4.816072288,20.61256038,38.5,31.7,13.84223015,17099,28862,59.24398864,166,14.46900495,13.73419126,11021,11.92916752,2139,45972,4.652832159,26.5,84.80921374,47147,31.2,90822,18078,5.023896449,10009,24903,40.19194475,47.7212158,38,6.9,32,18,96,18.75,11.8,6581,11.82493249,1.542045707,0.843132904,67,58.62947,1706:01:00,No,92.36804565,515,89.54154728,9.161373668,63.62876,1572:01:00,73,751,654.6,33.53461699,871,756.0665443,132,115.50881,866:01:00,2373,12078.61615,16.08758031,23.0628432,1402,39,32,32.83340089,7.66005483,6305,28,29,52.81156355,87.32762045,37.60683761,34,9098,98.69729044,6.165703276,13.69751325,28,35.23822093,87.06838186,12660.81444,86.01315003,55,71.76701816,2252,11372.27529,14.16309013,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1169,10107,0.11571
Alabama,1017,Chambers,23.9954736,4.941178357,4.873580766,19.39292705,40.1,30.1,12.74573462,3714,7664,48.46033403,60,17.79728888,15.9566787,3208,11.93807681,597,15276,3.908091123,30.7,85.25284801,14396,31.8,80754,17019,4.744932135,3237,6953,46.55544369,61.86467923,42,6.4,38,10,35,28.57142857,11.4,5622,12.37707948,4.036101083,0.938628159,6,17.84917,5603:01:00,No,86.23853211,138,81.47842003,12.21374046,41.52701,2408:01:00,14,206,611,45.44100119,180.5,528.9997362,2,5.94972,16808:1,654,11112.53661,11.80030257,70.04405286,327,46,39,42.65402844,8.810572687,5250,30,NA,32.3539014,85.96732927,NA,36,6523,108.6536352,NA,16.68036155,NA,48.44838505,NA,12348.55577,86.93623639,NA,48.80212955,NA,9587.509311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,598,5634,0.10611
