"","STATE","Rep","Ind","Lib","Sample Size","raw","intercept"
"1","AL",52,13,35,"511",-2.04631887278026,0.114424867480923
"2","AK",39,29,32,"310",-1.93942413338605,0.125711135133408
"3","AZ",40,21,39,"653",-2.02896569624671,0.116195096490065
"4","AR",46,16,38,"311",-2.57016459763896,0.0710834348393689
"5","CA",30,21,49,"3,697",-1.61048382647903,0.16652145146787
"6","CO",41,17,42,"504",-1.82639047881526,0.138668831597275
"7","CT",32,18,50,"377",-1.39806456739069,0.198123414999209
"8","DE",29,17,55,"301",-1.46953844781916,0.187012777762374
"9","FL",37,19,44,"2,020",-2.00412755691438,0.118770235716741
"10","GA",41,18,41,"968",-2.15435065956743,0.103925369716661
"11","HI",28,20,51,"312",-1.3270731264832,0.209643916541016
"12","IA",49,19,32,"320",-2.20094656201912,0.0996655197368401
"13","IL",33,19,48,"1,326",-1.91649947074777,0.128252429560375
"14","IN",42,20,37,"654",-1.86039606720368,0.134656893774419
"15","ID",41,19,40,"330",-2.15585997402723,0.103784898978011
"16","KS",46,23,31,"307",-2.3626224989706,0.0860676845707724
"17","KY",44,13,43,"439",-1.68507583576609,0.156424513823354
"18","LA",41,16,43,"465",-1.88134638970551,0.132234300976033
"19","ME",36,17,47,"303",-1.72084456171949,0.1517624107568
"20","MD",31,14,55,"644",-1.72238662648545,0.151564006446269
"21","MA",27,17,56,"704",-1.32438187766269,0.210090187015298
"22","MI",34,19,47,"982",-1.08775394621012,0.252041460873267
"23","MN",39,15,46,"563",-1.86510912808683,0.134108652136915
"24","MS",44,14,42,"309",-2.28944022432069,0.0920013012678856
"25","MO",41,18,42,"642",-2.19412569814752,0.100279245042176
"26","MT",49,21,30,"312",-1.90817632223901,0.129185871508084
"27","NE",47,17,36,"312",-2.58604977305799,0.0700416475269988
"28","NV",37,18,46,"314",-1.67777034553185,0.157390937668205
"29","NH",35,20,44,"303",-1.52925791767,0.178102287232741
"30","NJ",30,19,51,"886",-1.23891960513131,0.224624100082221
"31","NM",37,15,48,"312",-2.01185593429894,0.11796373405536
"32","NY",28,19,53,"1,966",-1.29033009835272,0.215796943492254
"33","NC",41,17,43,"1,022",-1.84440505123426,0.136531147390665
"34","ND",50,18,33,"338",-2.20052810529583,0.0997030751135361
"35","OH",42,18,40,"1,132",-1.66843646054745,0.15863275058982
"36","OK",45,15,40,"391",-2.69599678406778,0.0632099903502572
"37","OR",32,21,47,"419",-1.72461230186196,0.151278023499957
"38","PA",39,15,46,"1,366",-1.49552548542102,0.183093830323483
"39","RI",30,22,48,"305",-1.23891313654043,0.2246252267065
"40","SC",43,18,39,"495",-1.94994938038404,0.124558877846086
"41","SD",53,10,37,"305",-2.54192413607733,0.0729709060235034
"42","TN",48,15,36,"661",-2.00666824755239,0.118504574668877
"43","TX",39,21,40,"2,535",-2.17405489540461,0.102104683154909
"44","UT",54,16,30,"315",-2.17466516179511,0.102048747933188
"45","VT",29,14,57,"306",-1.28733914975083,0.216303527842291
"46","VA",43,18,39,"882",-2.10946537963174,0.108180234673013
"47","WA",33,23,44,"714",-1.60140548495779,0.167785270614617
"48","WV",43,16,41,"309",-2.03683364510151,0.115389543684724
"49","WI",42,16,42,"600",-1.72292801279633,0.151494401435634
"50","WY",57,18,25,"316",-2.41611968675317,0.0819517201278868
